MeasureName,Aliases,Domain,Business Capability,Capability Description,Capability Confidence,Measure Description,Evidence / Source Excerpt
Actual_Loc,Actual,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,"Actual demand quantity captured at the location level, enabling granular location-specific demand signal tracking and model recalibration.",Actual demand at location level for granular tracking
LY Adjusted Forecast,LY Best Estimate,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"Last year's best estimate or adjusted forecast at the equivalent time period, used as a benchmark for assessing current forecast quality.",LY Best Estimate for prior year forecast benchmarking
LY Adjusted Forecast,LY Best Estimate,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,"Last year's best estimate or adjusted forecast at the equivalent time period, used as a benchmark for assessing current forecast quality.",LY Best Estimate for prior year forecast benchmarking
Weather Driver LT,Weather Driver MT,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,"Long/mid-term driver quantifying sustained weather pattern effects (climate trends, seasonal shifts) on demand over the strategic horizon.",Weather Driver MT for long-term weather-driven demand
Adjusted History LLY,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Two-year-ago adjusted historical demand used as a multi-year reference for trend analysis and statistical model calibration.,Adjusted History LLY for two-year baseline calibration
Adjusted History LY,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Last year's adjusted and cleansed historical demand providing the most recent comparable baseline for forecasting.,Adjusted History LY as most recent cleansed baseline
Actual NR,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Actual net revenue realized from sales, used as the financial actuals benchmark for revenue forecast accuracy measurement.",Actual NR for financial revenue actuals tracking
Actual NR,,Demand Planning,Demand Sensing & Actuals Tracking,Captures near-term demand actuals and signals at location and DFU level for operational and short-horizon planning.,HIGH,"Actual net revenue realized from sales, used as the financial actuals benchmark for revenue forecast accuracy measurement.",Actual NR for financial revenue actuals tracking
Holidays Driver LC,Holidays Driver ST LC,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Short-term holiday driver expressed in local currency units, enabling local-currency quantification of holiday demand impacts.",Holidays Driver ST LC for local currency holiday impact
Holidays Driver LC,Holidays Driver ST LC,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Short-term holiday driver expressed in local currency units, enabling local-currency quantification of holiday demand impacts.",Holidays Driver ST LC for local currency holiday impact
Weather Driver LC,Weather Driver ST LC,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Short-term weather driver expressed in local currency, supporting LC-based financial quantification of weather-driven demand changes.",Weather Driver ST LC for local currency weather impact
Weather Driver LC,Weather Driver ST LC,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Short-term weather driver expressed in local currency, supporting LC-based financial quantification of weather-driven demand changes.",Weather Driver ST LC for local currency weather impact
Promo Driver LC,Promo Driver ST LC,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Short-term promotional driver in local currency, enabling revenue-level quantification of promotional demand effects.",Promo Driver ST LC for local currency promo impact
Promo Driver LC,Promo Driver ST LC,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Short-term promotional driver in local currency, enabling revenue-level quantification of promotional demand effects.",Promo Driver ST LC for local currency promo impact
Media Driver LC,A&M Driver ST LC,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Short-term advertising and media driver expressed in local currency for LC-level financial quantification of media-driven demand.,A&M Driver ST LC for local currency media impact
Media Driver LC,A&M Driver ST LC,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,Short-term advertising and media driver expressed in local currency for LC-level financial quantification of media-driven demand.,A&M Driver ST LC for local currency media impact
LLY Sales NR,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Two-year-ago net revenue actuals providing a multi-year financial reference for revenue trend analysis and forecast benchmarking.,LLY Sales NR for multi-year revenue historical reference
LLY Sales NR,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,Two-year-ago net revenue actuals providing a multi-year financial reference for revenue trend analysis and forecast benchmarking.,LLY Sales NR for multi-year revenue historical reference
NR Rate,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,Net revenue rate (price per unit) used to convert volume forecasts into net revenue financial values across planning horizons.,NR Rate for volume-to-revenue financial conversion
